Time,Level,Content,EventId,EventTemplate 1745884800    
[Sun 1745884800 04 04:47:44 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:47:44 2005],[error],mod_jk child
[Sun 1745884800 04 04:51:08 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:51:09 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:51:09 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:51:14 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:51:14 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:51:14 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:51:18 2005],[error],mod_jk child
[Sun 1745884800 04 04:51:18 2005],[error],mod_jk child
[Sun 1745884800 04 04:51:18 2005],[error],mod_jk child
[Sun 1745884800 04 04:51:37 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:51:38 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:51:38 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:51:52 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:51:52 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:51:55 2005],[error],mod_jk child
[Sun 1745884800 04 04:52:04 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:04 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:05 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:05 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:12 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:52:12 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:52:12 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:52:15 2005],[error],mod_jk child
[Sun 1745884800 04 04:52:15 2005],[error],mod_jk child
[Sun 1745884800 04 04:52:15 2005],[error],mod_jk child
[Sun 1745884800 04 04:52:36 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:36 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:36 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:52:49 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:52:49 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:52:52 2005],[error],mod_jk child
[Sun 1745884800 04 04:52:52 2005],[error],mod_jk child
[Sun 1745884800 04 04:53:05 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:53:05 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:53:05 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:53:15 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:53:15 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:53:16 2005],[error],mod_jk child
[Sun 1745884800 04 04:53:16 2005],[error],mod_jk child
[Sun 1745884800 04 04:53:29 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:53:29 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:53:40 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:53:51 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:53:54 2005],[error],mod_jk child
[Sun 1745884800 04 04:54:15 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:54:15 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:54:15 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:54:15 2005],[notice],jk2_init() Found
[Sun 1745884800 04 04:54:18 2005],[notice],workerEnv.init() ok
[Sun 1745884800 04 04:54:18 2005],[notice],workerEnv.init() ok
